Publikationsjahr,Indikator_Nr,jahr_num,jahr_char,Wert,Indikator_Name,IndikatorLabelShort,Wohnviertel_id,Wohnviertel,Rang,Indikator-Kategorie,Gewichtung_Text,Bewertung_Text,Einheit,wert_txt
2020,1,2019,2019,0.0121473354,Sozialhilfequote,Anteil Sozialhilfeempfänger,1,Altstadt Grossbasel,1,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"1,21%"
2020,1,2019,2019,0.0312811317,Sozialhilfequote,Anteil Sozialhilfeempfänger,2,Vorstädte,5,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"3,13%"
2020,1,2019,2019,0.0329088953,Sozialhilfequote,Anteil Sozialhilfeempfänger,3,Am Ring,7,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"3,29%"
2020,1,2019,2019,0.0541380075,Sozialhilfequote,Anteil Sozialhilfeempfänger,4,Breite,12,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"5,41%"
2020,1,2019,2019,0.0395946062,Sozialhilfequote,Anteil Sozialhilfeempfänger,5,St. Alban,9,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"3,96%"
2020,1,2019,2019,0.0683296024,Sozialhilfequote,Anteil Sozialhilfeempfänger,6,Gundeldingen,15,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"6,83%"
2020,1,2019,2019,0.0191468993,Sozialhilfequote,Anteil Sozialhilfeempfänger,7,Bruderholz,2,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"1,91%"
2020,1,2019,2019,0.0254082156,Sozialhilfequote,Anteil Sozialhilfeempfänger,8,Bachletten,4,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"2,54%"
2020,1,2019,2019,0.044447641,Sozialhilfequote,Anteil Sozialhilfeempfänger,9,Gotthelf,10,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"4,44%"
2020,1,2019,2019,0.0913558319,Sozialhilfequote,Anteil Sozialhilfeempfänger,10,Iselin,19,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"9,14%"
2020,1,2019,2019,0.0866933305,Sozialhilfequote,Anteil Sozialhilfeempfänger,11,St. Johann,16,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"8,67%"
2020,1,2019,2019,0.0672478207,Sozialhilfequote,Anteil Sozialhilfeempfänger,12,Altstadt Kleinbasel,14,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"6,72%"
2020,1,2019,2019,0.0876376989,Sozialhilfequote,Anteil Sozialhilfeempfänger,13,Clara,17,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"8,76%"
2020,1,2019,2019,0.0322171946,Sozialhilfequote,Anteil Sozialhilfeempfänger,14,Wettstein,6,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"3,22%"
2020,1,2019,2019,0.0476190476,Sozialhilfequote,Anteil Sozialhilfeempfänger,15,Hirzbrunnen,11,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"4,76%"
2020,1,2019,2019,0.0891010342,Sozialhilfequote,Anteil Sozialhilfeempfänger,16,Rosental,18,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"8,91%"
2020,1,2019,2019,0.1097258486,Sozialhilfequote,Anteil Sozialhilfeempfänger,17,Matthäus,20,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"10,97%"
2020,1,2019,2019,0.1358297637,Sozialhilfequote,Anteil Sozialhilfeempfänger,18,Klybeck,22,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"13,58%"
2020,1,2019,2019,0.1143674053,Sozialhilfequote,Anteil Sozialhilfeempfänger,19,Kleinhüningen,21,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"11,44%"
2020,1,2019,2019,0.0344634613,Sozialhilfequote,Anteil Sozialhilfeempfänger,20,Riehen,8,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"3,45%"
2020,1,2019,2019,0.0194915254,Sozialhilfequote,Anteil Sozialhilfeempfänger,30,Bettingen,3,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"1,95%"
2020,1,2019,2019,0.065761176,Sozialhilfequote,Anteil Sozialhilfeempfänger,99,Kanton Basel-Stadt,13,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"6,58%"
2020,2,2019,2019,0.2821316614,Auslaenderanteil,Anteil Ausländer,1,Altstadt Grossbasel,6,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,,"28,2%"
2020,2,2019,2019,0.3851364814,Auslaenderanteil,Anteil Ausländer,2,Vorstädte,15,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,,"38,5%"
2020,2,2019,2019,0.3734756098,Auslaenderanteil,Anteil Ausländer,3,Am Ring,12,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,,"37,3%"
2020,2,2019,2019,0.3437985356,Auslaenderanteil,Anteil Ausländer,4,Breite,9,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,,"34,4%"
2020,2,2019,2019,0.349566263,Auslaenderanteil,Anteil Ausländer,5,St. Alban,10,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,,"35,0%"
2020,2,2019,2019,0.3970792026,Auslaenderanteil,Anteil Ausländer,6,Gundeldingen,16,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,,"39,7%"
2020,2,2019,2019,0.250930752,Auslaenderanteil,Anteil Ausländer,7,Bruderholz,2,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,,"25,1%"
