Publikationsjahr,Indikator_Nr,jahr_num,jahr_char,Wert,Indikator_Name,Wohnviertel_id,Wohnviertel,Rang
2020,1,2019,2019,0.0121473354,Sozialhilfequote,1,Altstadt Grossbasel,1
2020,1,2019,2019,0.0312811317,Sozialhilfequote,2,Vorstädte,5
2020,1,2019,2019,0.0329088953,Sozialhilfequote,3,Am Ring,7
2020,1,2019,2019,0.0541380075,Sozialhilfequote,4,Breite,12
2020,1,2019,2019,0.0395946062,Sozialhilfequote,5,St. Alban,9
2020,1,2019,2019,0.0683296024,Sozialhilfequote,6,Gundeldingen,14
2020,1,2019,2019,0.0191468993,Sozialhilfequote,7,Bruderholz,2
2020,1,2019,2019,0.0254082156,Sozialhilfequote,8,Bachletten,4
2020,1,2019,2019,0.044447641,Sozialhilfequote,9,Gotthelf,10
2020,1,2019,2019,0.0913558319,Sozialhilfequote,10,Iselin,18
2020,1,2019,2019,0.0866933305,Sozialhilfequote,11,St. Johann,15
2020,1,2019,2019,0.0672478207,Sozialhilfequote,12,Altstadt Kleinbasel,13
2020,1,2019,2019,0.0876376989,Sozialhilfequote,13,Clara,16
2020,1,2019,2019,0.0322171946,Sozialhilfequote,14,Wettstein,6
2020,1,2019,2019,0.0476190476,Sozialhilfequote,15,Hirzbrunnen,11
2020,1,2019,2019,0.0891010342,Sozialhilfequote,16,Rosental,17
2020,1,2019,2019,0.1097258486,Sozialhilfequote,17,Matthäus,19
2020,1,2019,2019,0.1358297637,Sozialhilfequote,18,Klybeck,21
2020,1,2019,2019,0.1143674053,Sozialhilfequote,19,Kleinhüningen,20
2020,1,2019,2019,0.0344634613,Sozialhilfequote,20,Riehen,8
2020,1,2019,2019,0.0194915254,Sozialhilfequote,30,Bettingen,3
2020,2,2019,2019,0.2821316614,Auslaenderanteil,1,Altstadt Grossbasel,6
2020,2,2019,2019,0.3851364814,Auslaenderanteil,2,Vorstädte,14
2020,2,2019,2019,0.3734756098,Auslaenderanteil,3,Am Ring,11
2020,2,2019,2019,0.3437985356,Auslaenderanteil,4,Breite,9
2020,2,2019,2019,0.349566263,Auslaenderanteil,5,St. Alban,10
2020,2,2019,2019,0.3970792026,Auslaenderanteil,6,Gundeldingen,15
2020,2,2019,2019,0.250930752,Auslaenderanteil,7,Bruderholz,2
2020,2,2019,2019,0.2240609211,Auslaenderanteil,8,Bachletten,1
2020,2,2019,2019,0.2859608746,Auslaenderanteil,9,Gotthelf,7
2020,2,2019,2019,0.3785671995,Auslaenderanteil,10,Iselin,12
2020,2,2019,2019,0.4328721219,Auslaenderanteil,11,St. Johann,16
2020,2,2019,2019,0.3835616438,Auslaenderanteil,12,Altstadt Kleinbasel,13
2020,2,2019,2019,0.4695226438,Auslaenderanteil,13,Clara,17
2020,2,2019,2019,0.3216289593,Auslaenderanteil,14,Wettstein,8
2020,2,2019,2019,0.2522522523,Auslaenderanteil,15,Hirzbrunnen,3
2020,2,2019,2019,0.5591355078,Auslaenderanteil,16,Rosental,21
2020,2,2019,2019,0.5026109661,Auslaenderanteil,17,Matthäus,19
2020,2,2019,2019,0.5185850491,Auslaenderanteil,18,Klybeck,20
2020,2,2019,2019,0.4699785561,Auslaenderanteil,19,Kleinhüningen,18
2020,2,2019,2019,0.2711374341,Auslaenderanteil,20,Riehen,5
2020,2,2019,2019,0.2525423729,Auslaenderanteil,30,Bettingen,4
2020,4,2019,2019,0.2974408498,Anteileinpersonenhh,1,Altstadt Grossbasel,19
2020,4,2019,2019,0.3347280335,Anteileinpersonenhh,2,Vorstädte,20
2020,4,2019,2019,0.2779129758,Anteileinpersonenhh,3,Am Ring,15
2020,4,2019,2019,0.2818738657,Anteileinpersonenhh,4,Breite,16
2020,4,2019,2019,0.2374254429,Anteileinpersonenhh,5,St. Alban,9
2020,4,2019,2019,0.2832781187,Anteileinpersonenhh,6,Gundeldingen,17
2020,4,2019,2019,0.1503190224,Anteileinpersonenhh,7,Bruderholz,2
2020,4,2019,2019,0.2109623493,Anteileinpersonenhh,8,Bachletten,6
2020,4,2019,2019,0.2886567603,Anteileinpersonenhh,9,Gotthelf,18
2020,4,2019,2019,0.27072021,Anteileinpersonenhh,10,Iselin,12
2020,4,2019,2019,0.2387484412,Anteileinpersonenhh,11,St. Johann,10
2020,4,2019,2019,0.3457943925,Anteileinpersonenhh,12,Altstadt Kleinbasel,21
2020,4,2019,2019,0.2765625,Anteileinpersonenhh,13,Clara,14
2020,4,2019,2019,0.276009678,Anteileinpersonenhh,14,Wettstein,13
2020,4,2019,2019,0.1854786195,Anteileinpersonenhh,15,Hirzbrunnen,4
2020,4,2019,2019,0.2222524483,Anteileinpersonenhh,16,Rosental,7
2020,4,2019,2019,0.2633456749,Anteileinpersonenhh,17,Matthäus,11
2020,4,2019,2019,0.2287241525,Anteileinpersonenhh,18,Klybeck,8
2020,4,2019,2019,0.1970479705,Anteileinpersonenhh,19,Kleinhüningen,5
2020,4,2019,2019,0.1654124663,Anteileinpersonenhh,20,Riehen,3
2020,4,2019,2019,0.1364468864,Anteileinpersonenhh,30,Bettingen,1
